time,q1 (vert),q2 (horiz)
0.0,5.0,10.0
0.07939698492462312,5.39611806507073,9.978594023681392
0.15879396984924624,5.787051499303542,9.91470203284164
0.23819095477386937,6.167698019098065,9.8092966081389
0.31758793969849247,6.533118709420641,9.663981356031286
0.3969849246231156,6.878616414684181,9.480965160607827
0.47638190954773874,7.19981023702827,9.263026718859528
0.5557788944723618,7.492704942579495,9.013469930813475
0.6351758793969849,7.753754158331287,8.736070863299716
0.714572864321608,7.979916342348352,8.435017141883819
0.7939698492462312,8.168702626460291,8.114840747489522
0.8733668341708543,8.318215761585424,7.780345300489647
0.9527638190954775,8.427179539208263,7.436529003847371
1.0321608040201005,8.494958216011828,7.088504486812473
1.1115577889447237,8.521565629765508,6.741416840591868
1.1909547738693467,8.507663860694098,6.400361166515886
1.2703517587939699,8.454551461026877,6.070300965042484
1.349748743718593,8.364141443531809,5.755988680355055
1.429145728643216,8.238929384869934,5.461889680534302
1.5085427135678393,8.081952158899298,5.192110897881777
1.5879396984924623,7.8967379660488835,4.950335278834636
1.6673366834170855,7.687248465137795,4.739763099249135
1.7467336683417085,7.457813941272909,4.563061090153863
1.8261306532663317,7.213062555668441,4.422320193166344
1.905527638190955,6.957844818585164,4.319022625657701
1.984924623115578,6.6971545035483295,4.254018785681432
2.064321608040201,6.436047278331719,4.2275143680726615
2.143718592964824,6.179558364966519,4.239067898529617
2.2231155778894474,5.932620556655439,4.287598724562341
2.3025125628140706,5.699983913692901,4.371405333641003
2.3819095477386933,5.4861384334043635,4.488193702414292
2.4613065326633166,5.295240941158523,4.635115219179784
2.5407035175879398,5.131047381448233,4.808813567478919
2.620100502512563,4.996851600976238,5.005479814246108
2.699497487437186,4.895431611023585,5.2209148136924295
2.778894472361809,4.829004195808277,5.450597920180761
2.858291457286432,4.799188599002813,5.689760901651564
2.9376884422110554,4.806979874239856,5.933465861325809
3.0170854271356786,4.852732329653877,6.176685910794946
3.0964824120603014,4.936153333793965,6.414387293248549
3.1758793969849246,5.056307583221336,6.641611632203489
3.255276381909548,5.211631763466232,6.853556979060899
3.334673366834171,5.399959367480794,7.04565635216183
3.4140703517587943,5.618555271987163,7.213652500427422
3.493467336683417,5.864159514822424,7.353667685503542
3.5728643216080402,6.13303956805914,7.46226735660249
3.6522613065326635,6.421050264722555,7.536516690652114
3.7316582914572867,6.723700413540381,7.574029085339207
3.81105527638191,7.036225028336956,7.57300582231653
3.8904522613065327,7.353662008158199,7.5322662601411
3.969849246231156,7.670932032446235,7.451268069132329
4.049246231155779,7.982920383729372,7.330117180822448
4.128643216080402,8.28455937919017,7.16956729043195
4.2080402010050255,8.570910082622678,6.971008919168284
4.287437185929648,8.837241979848663,6.736448211403114
4.366834170854271,9.07910933344538,6.468475807220548
4.446231155778895,9.292422986115717,6.170226290779642
4.5256281407035175,9.473516455343985,5.845328866821318
4.605025125628141,9.619205253945253,5.497850059024713
4.684422110552764,9.7268384802511,5.132229352502706
4.763819095477387,9.794341846221272,4.753208816448172
4.84321608040201,9.820251449721487,4.365757839969253
4.922613065326633,9.803737746339639,3.9749941929192136
5.002010050251257,9.744619334022271,3.586102682765331
5.0814070351758795,9.643366327955755,3.2042527172969097
5.160804020100502,9.50109327084647,2.834516100619985
5.240201005025126,9.319541692368777,2.481786386141799
5.319597989949749,9.101052598330849,2.1507010851713084
5.398994974874372,8.848529332368804,1.8455679837574683
5.478391959798995,8.565391408104304,1.570296754196118
5.557788944723618,8.255520055189333,1.3283369623253796
5.637185929648242,7.923196356170081,1.1226234686740613
5.716582914572864,7.5730329704778505,0.9555301023877698
5.795979899497488,7.209900545174651,0.8288323535539286
5.875376884422111,6.83884999768018,0.7436796842277218
5.954773869346734,6.465031922204711,0.7005779034680364
6.034170854271357,6.093614417938532,0.6993818895239539
6.11356783919598,5.7297006624553095,0.7392987755814051
6.192964824120603,5.378247557865455,0.8189015468735548
6.272361809045226,5.0439867599402435,0.9361528291945005
6.351758793969849,4.7313493619970455,1.0884384846376238
6.431155778894473,4.44439544641013,1.2726104723540423
6.510552763819096,4.186749638139917,1.485038282839772
6.589949748743718,3.9615436979204333,1.7216681161183898
6.669346733668342,3.7713670792701715,1.9780888494153732
6.748743718592965,3.6182262451235996,2.249603730531895
6.8281407035175885,3.50351339868859,2.5313066408823177
6.907537688442211,3.4279851313943626,2.8181616985476943
6.986934673366834,3.391751330950467,3.1050849179036
7.066331658291458,3.394274527166437,3.3870266092713184
7.1457286432160805,3.4343796849486745,3.6590531901505727
7.225125628140704,3.510274285507583,3.9164270891111164
7.304522613065327,3.6195783709875036,4.154683454196018
7.38391959798995,3.7593640671469823,4.369702429225713
7.463316582914573,3.9262039459555513,4.5577758328577715
7.542713567839196,4.116227447497252,4.715667165501503
7.62211055276382,4.3251844506769554,4.840663976754214
7.7015075376884425,4.548514967006415,4.930621749183696
7.780904522613065,4.781423833059926,4.983998591044474
7.860301507537689,5.0189591966248415,4.999880178679214
7.939698492462312,5.256093530428524,4.9779945465337665
8.019095477386935,5.4878058665858935,4.9187164863713235
8.098492462311558,5.709163925237133,4.82306148477059
8.177889447236181,5.915404812550607,4.692669296635168
8.257286432160804,6.102012986323564,4.52977741950872
8.336683417085428,6.264794231452166,4.337184896290134
8.416080402010051,6.39994445185177,4.118207029851438
8.495477386934674,6.504112168953,3.8766217395655262
8.574874371859297,6.5744537183315375,3.6166084244901686
8.65427135678392,6.608680253715817,3.3426803187572034
8.733668341708542,6.605095799659631,3.059611429634952
8.813065326633167,6.5626257384385065,2.7723592360761824
8.89246231155779,6.480835270904006,2.4859843939263175
8.971859296482412,6.359937552624534,2.2055687422445347
9.051256281407035,6.2007913730501665,1.9361329326067338
9.130653266331658,6.004888413980693,1.6825550093711188
9.210050251256282,5.774330291574204,1.4494912535968494
9.289447236180905,5.511795750801334,1.2413005668594574
9.368844221105528,5.22049853997355,1.061973614191253
9.44824120603015,4.904136643195267,0.9150678687096603
9.527638190954773,4.56683368788717,0.8036496054163704
9.607035175879398,4.213073470657742,0.730243779688343
9.68643216080402,3.8476286557284762,0.6967925989418289
9.765829145728643,3.4754847940576994,0.7046234558804292
9.845226130653266,3.1017608867450255,0.7544267408950365
9.924623115577889,2.7316277720163944,0.8462438919982347
10.004020100502514,2.370225650191448,0.9794658757139425
10.083417085427136,2.022582074954295,1.152842124263202
10.162814070351759,1.6935317317612086,1.364499785897893
10.242211055276382,1.3876392954456906,1.611972979051116
10.321608040201005,1.1091266094852945,1.892241579774295
10.40100502512563,0.8618053597760049,2.20177891831466
10.480402010050252,0.6490163272399716,2.5366076171281327
10.559798994974875,0.4735761975978816,2.8923626714358366
10.639195979899498,0.33773278487663827,3.264360756730924
10.71859296482412,0.2431293896579909,3.647674647307946
10.797989949748745,0.19077886588979265,4.037211547535598
10.877386934673368,0.18104781365015032,4.427794074553128
10.95678391959799,0.21365115209715047,4.814242588356953
11.036180904522613,0.28765715958261584,5.191457543544854
11.115577889447236,0.4015028992526428,5.554500536651175
11.19497487437186,0.5530197811189526,5.898672744042225
11.274371859296483,0.7394688482598442,6.219589487407933
11.353768844221106,0.9575852181302,6.5132497263059985
11.433165829145729,1.2036309624512729,6.776099358981515
11.512562814070352,1.4734555731905745,7.0050873124816935
11.591959798994976,1.762563039920793,7.197713519302422
11.671356783919599,2.0661844573341934,7.352068008568672
11.750753768844222,2.3793549926021678,7.466860482956532
11.830150753768844,2.696993972043517,7.541439905902783
11.909547738693467,3.0139867963324027,7.575803784647675
11.98894472361809,3.3252673640462422,7.570597000722632
12.068341708542714,3.625899675200137,7.527100207951015
12.147738693467337,3.9111572996685924,7.447207986161931
12.22713567839196,4.176599429844158,7.333397103914342
12.306532663316583,4.4181422919702635,7.1886854029313
12.385929648241206,4.63212476542496,7.0165819680824
12.46532663316583,4.8153671526165995,6.821029387191124
12.544723618090453,4.965222152577,6.606339032419285
12.624120603015076,5.07961721702277,6.377120407438473
12.703517587939698,5.157087606575184,6.138205700226589
12.782914572864321,5.196799614744934,5.8945707585842095
12.862311557788946,5.198563585783722,5.6512537631062845
12.941708542713569,5.162836517025727,5.413272909440229
13.021105527638191,5.090714204237041,5.185544427613959
13.100502512562814,4.983913057054335,4.9728022607702576
13.179899497487437,4.84474187810847,4.7795206988839025
13.259296482412061,4.676064061211208,4.6098412153976405
13.338693467336684,4.481250818425953,4.467504686959326
13.418090452261307,4.264126190457568,4.35579008966757
13.49748743718593,4.028904727251291,4.2774606608358035
13.576884422110552,3.7801228438516024,4.234718394946892
13.656281407035177,3.5225649585343004,4.229167608131869
13.7356783919598,3.2611856043462364,4.261788159332436
13.815075376884423,3.0010287701102394,4.332918760652568
13.894472361809045,2.7471457716330496,4.4422506467794545
13.973869346733668,2.5045129775695107,4.588831706378108
14.053266331658293,2.2779507167666733,4.771081009729101
14.132663316582915,2.072044674896604,4.986813499302179
14.212060301507538,1.8910710480946977,5.2332744461413245
14.291457286432161,1.7389266607961806,5.507183117518649
14.370854271356784,1.619065174983021,5.8047849528330095
14.450251256281408,1.5344404199055774,6.121911407576948
14.529648241206031,1.487457756610071,6.454046501583001
14.609045226130654,1.47993426213255,6.796398999680096
14.688442211055277,1.513068376100073,7.1439790620839005
14.7678391959799,1.5874194999999962,7.491678129775891
14.847236180904524,1.7028978789961804,7.83435075795544
14.926633165829147,1.858764930471346,8.166897079218542
15.00603015075377,2.0536440151283,8.484344567932485
15.085427135678392,2.285541478202021,8.781927788501626
15.164824120603015,2.5518776228320768,9.05516484267533
15.24422110552764,2.84952711758772,9.299929284211125
15.323618090452262,3.174868188105468,9.51251634221812
15.403015075376885,3.523839801241829,9.689702386191055
15.482412060301508,3.892005921342605,9.828796674625822
15.56180904522613,4.274625804261606,9.92768455342912
15.641206030150753,4.666729197461577,9.98486140809375
15.720603015075378,5.063195235467265,9.999456822587177
15.8,5.458833760388797,9.971248555693393
